asof,year,n_per_sector,pick,ticker,name,sector,score,mcap,ret,basket_ret,pool_ret,basket_pctile,basket_p,days_held,partial_window,excess_vs_pool
2019-01-01,2019,1,1,IMMR,IMMERSION CORP,Technology,97.3,0.241435826472,-17.0834396529727,22.2488371715,24.7101681859,45.4,0.546,,,-41.7936078388727
2019-01-01,2019,1,2,MA,MASTERCARD INC,Financials,96.7,22.008260615695,59.15986972134843,22.2488371715,24.7101681859,45.4,0.546,,,34.449701535448426
2019-01-01,2019,1,3,HEES,H&E EQUIPMENT SERVICES INC,Industrials,95.0,0.598444348487,70.36484146414284,22.2488371715,24.7101681859,45.4,0.546,,,45.65467327824284
2019-01-01,2019,1,4,SRLP,SPRAGUE RESOURCES LP,Energy,92.6,0.196830772866,34.98498498498499,22.2488371715,24.7101681859,45.4,0.546,,,10.274816799084991
2019-01-01,2019,1,5,MNST,MONSTER BEVERAGE CORP,Consumer Staples,92.4,6.804215633705,29.110117838277127,22.2488371715,24.7101681859,45.4,0.546,,,4.399949652377128
2019-01-01,2019,1,6,MPT,MEDICAL PROPERTIES TRUST INC,Real Estate,91.7,3.34286138284,38.52620087336245,22.2488371715,24.7101681859,45.4,0.546,,,13.81603268746245
2019-01-01,2019,1,7,LGND,LIGAND PHARMACEUTICALS INC,Healthcare,90.6,2.8841306182,-23.146647015475295,22.2488371715,24.7101681859,45.4,0.546,,,-47.8568152013753
2019-01-01,2019,1,8,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,89.8,16.79192977592,40.35139828184975,22.2488371715,24.7101681859,45.4,0.546,,,15.641230095949748
2019-01-01,2019,1,9,DCH,DAUCH CORP,Consumer Disc,89.3,1.2398877710999998,-3.063063063063065,22.2488371715,24.7101681859,45.4,0.546,,,-27.773231248963064
2019-01-01,2019,1,10,CMCSA,COMCAST CORP,Communication Svcs,87.5,53.208719895350995,34.0428831763018,22.2488371715,24.7101681859,45.4,0.546,,,9.3327149904018
2019-01-01,2019,1,11,WM,WASTE MANAGEMENT INC,Utilities,85.7,33.503628422741,30.45187890510672,22.2488371715,24.7101681859,45.4,0.546,,,5.741710719206722
2019-01-01,2019,1,12,CULP,CULP INC,Unclassified,76.3,0.210389522952,-26.7129794561216,22.2488371715,24.7101681859,45.4,0.546,,,-51.423147642021604
2019-01-01,2019,3,1,IMMR,IMMERSION CORP,Technology,97.3,0.241435826472,-17.0834396529727,22.3575272745,24.7101681859,39.75,0.6025,,,-41.7936078388727
2019-01-01,2019,3,2,MA,MASTERCARD INC,Financials,96.7,22.008260615695,59.15986972134843,22.3575272745,24.7101681859,39.75,0.6025,,,34.449701535448426
2019-01-01,2019,3,3,LRCX,LAM RESEARCH CORP,Technology,95.3,1.927060084908,119.31067804799488,22.3575272745,24.7101681859,39.75,0.6025,,,94.60050986209488
2019-01-01,2019,3,4,HEES,H&E EQUIPMENT SERVICES INC,Industrials,95.0,0.598444348487,70.36484146414284,22.3575272745,24.7101681859,39.75,0.6025,,,45.65467327824284
2019-01-01,2019,3,5,APH,AMPHENOL CORP,Technology,93.7,2.83850163996,34.89384288747346,22.3575272745,24.7101681859,39.75,0.6025,,,10.183674701573462
2019-01-01,2019,3,6,SRLP,SPRAGUE RESOURCES LP,Energy,92.6,0.196830772866,34.98498498498499,22.3575272745,24.7101681859,39.75,0.6025,,,10.274816799084991
2019-01-01,2019,3,7,MNST,MONSTER BEVERAGE CORP,Consumer Staples,92.4,6.804215633705,29.110117838277127,22.3575272745,24.7101681859,39.75,0.6025,,,4.399949652377128
2019-01-01,2019,3,8,MPT,MEDICAL PROPERTIES TRUST INC,Real Estate,91.7,3.34286138284,38.52620087336245,22.3575272745,24.7101681859,39.75,0.6025,,,13.81603268746245
2019-01-01,2019,3,9,JHG,JANUS HENDERSON GROUP PLC,Financials,90.7,2.844022053612,25.939377007962005,22.3575272745,24.7101681859,39.75,0.6025,,,1.2292088220620059
2019-01-01,2019,3,10,LGND,LIGAND PHARMACEUTICALS INC,Healthcare,90.6,2.8841306182,-23.146647015475295,22.3575272745,24.7101681859,39.75,0.6025,,,-47.8568152013753
2019-01-01,2019,3,11,CVI,CVR ENERGY INC,Energy,90.4,1.923049828271,25.369857284750896,22.3575272745,24.7101681859,39.75,0.6025,,,0.6596890988508974
2019-01-01,2019,3,12,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,90.1,1.58851912725,41.077441077441065,22.3575272745,24.7101681859,39.75,0.6025,,,16.367272891541067
2019-01-01,2019,3,13,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,89.8,16.79192977592,40.35139828184975,22.3575272745,24.7101681859,39.75,0.6025,,,15.641230095949748
2019-01-01,2019,3,14,DCH,DAUCH CORP,Consumer Disc,89.3,1.2398877710999998,-3.063063063063065,22.3575272745,24.7101681859,39.75,0.6025,,,-27.773231248963064
2019-01-01,2019,3,15,SUPN,SUPERNUS PHARMACEUTICALS INC,Healthcare,89.3,1.73597797186,-28.597230583985557,22.3575272745,24.7101681859,39.75,0.6025,,,-53.30739876988555
2019-01-01,2019,3,16,DECK,DECKERS OUTDOOR CORP,Consumer Disc,89.1,0.621031106925,31.97186400937868,22.3575272745,24.7101681859,39.75,0.6025,,,7.261695823478682
2019-01-01,2019,3,17,UTHR,UNITED THERAPEUTICS CORP,Healthcare,88.4,4.7466436841999995,-19.118457300275495,22.3575272745,24.7101681859,39.75,0.6025,,,-43.8286254861755
2019-01-01,2019,3,18,TTEK,TETRA TECH INC,Industrials,87.7,0.5435443835910001,67.76657500763822,22.3575272745,24.7101681859,39.75,0.6025,,,43.05640682173822
2019-01-01,2019,3,19,ALEX,ALEXANDER & BALDWIN INC,Real Estate,87.6,1.000384516901,17.495860033119737,22.3575272745,24.7101681859,39.75,0.6025,,,-7.214308152780262
2019-01-01,2019,3,20,LPX,LOUISIANA-PACIFIC CORP,Materials,87.6,2.782486839701,36.399614389365254,22.3575272745,24.7101681859,39.75,0.6025,,,11.689446203465256
2019-01-01,2019,3,21,CMCSA,COMCAST CORP,Communication Svcs,87.5,53.208719895350995,34.0428831763018,22.3575272745,24.7101681859,39.75,0.6025,,,9.3327149904018
2019-01-01,2019,3,22,AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Industrials,87.3,1.07965446167,-34.652761317847826,22.3575272745,24.7101681859,39.75,0.6025,,,-59.36292950374782
2019-01-01,2019,3,23,WLKP,WESTLAKE CHEMICAL PARTNERS LP,Materials,86.7,0.411315217105,18.48686789494316,22.3575272745,24.7101681859,39.75,0.6025,,,-6.223300290956839
2019-01-01,2019,3,24,BKE,BUCKLE INC,Consumer Disc,86.5,0.4297896048,55.531478102189766,22.3575272745,24.7101681859,39.75,0.6025,,,30.821309916289767
2019-01-01,2019,3,25,WM,WASTE MANAGEMENT INC,Utilities,85.7,33.503628422741,30.45187890510672,22.3575272745,24.7101681859,39.75,0.6025,,,5.741710719206722
2019-01-01,2019,3,26,SM,SM ENERGY CO,Energy,85.1,1.543757110266,-26.69620804881593,22.3575272745,24.7101681859,39.75,0.6025,,,-51.40637623471593
2019-01-01,2019,3,27,UGI,UGI CORP,Utilities,83.7,6.7904472195,-13.256528417818746,22.3575272745,24.7101681859,39.75,0.6025,,,-37.966696603718745
