ticker,name,sector,score,mcap,ret
ARNA,ARENA PHARMACEUTICALS INC,Healthcare,96.8,2.2758665259,70.89387934830471
VST,VISTRA CORP,Utilities,94.6,9.748372914276,-12.539373031348443
ANET,ARISTA NETWORKS INC,Technology,94.5,0.971261148076,42.05930936836309
LXRX,LEXICON PHARMACEUTICALS INC,Healthcare,94.4,0.44102849705,-20.24096385542169
HEES,H&E EQUIPMENT SERVICES INC,Industrials,94.1,1.0228059930159998,-6.39304616031684
FTNT,FORTINET INC,Technology,93.5,3.651912331072,38.64743349569126
DECK,DECKERS OUTDOOR CORP,Consumer Disc,93.1,0.787331157156,69.37426713569982
BERY,BERRY GLOBAL GROUP INC,Materials,92.2,5.5323891,18.234210966831665
APH,AMPHENOL CORP,Technology,92.1,3.7675201208490003,21.271739985834582
SGI,SOMNIGROUP INTERNATIONAL INC,Consumer Disc,92.0,1.110148639908,26.213213798479828
MA,MASTERCARD INC,Financials,91.5,35.028318923875,19.864975951027542
MNST,MONSTER BEVERAGE CORP,Consumer Staples,91.3,8.542148913708001,43.92270409768992
UIS,UNISYS CORP,Technology,90.7,0.74000159268,63.99662731871838
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Disc,90.2,0.465347305368,64.15601481304503
CMA,COMERICA INC,Financials,90.1,7.7002920592779995,-17.015182432558916
TRTN-PA,TRITON INTERNATIONAL LTD,Industrials,90.1,1.1486326978069998,7.414628010816915
SUPN,SUPERNUS PHARMACEUTICALS INC,Healthcare,89.5,1.2444208419199998,5.733558178752096
CSGP,COSTAR GROUP INC,Technology,89.4,2.19187061408,54.59802774527829
MPC,MARATHON PETROLEUM CORP,Energy,89.2,32.047272947695,-26.992199371897474
CSX,CSX CORP,Industrials,88.8,17.252867848938,26.52700312882601
GNCIQ,GNC HOLDINGS INC,Consumer Staples,88.7,0.2283264099,
WM,WASTE MANAGEMENT INC,Utilities,88.5,43.490238135599995,4.592588257099095
EBIXQ,EBIX INC,Technology,88.3,0.984763204776,12.529419051158186
CORT,CORCEPT THERAPEUTICS INC,Healthcare,88.0,1.3827965668,116.28099173553723
SRLP,SPRAGUE RESOURCES LP,Energy,88.0,0.26585481248299997,33.130829126379744
EXEL,EXELIXIS INC,Healthcare,88.0,5.35377191172,14.699205448354146
CVI,CVR ENERGY INC,Energy,87.9,2.410924825218,-60.32440997414727
SRCI,SRC ENERGY INC,Energy,87.8,1.0034807136000001,
HCC,WARRIOR MET COAL INC,Materials,87.7,0.95554978568,1.336183858898976
SGRY,SURGERY PARTNERS INC,Healthcare,87.7,0.775020922985,80.26189715745768
HSII,HEIDRICK & STRUGGLES INTERNATIONAL INC,Industrials,87.6,0.557435495456,-6.7714423275328395
LRCX,LAM RESEARCH CORP,Technology,87.5,3.951078435792,68.20151281486375
AMZN,AMAZON COM INC,Consumer Disc,87.3,45.80769675024,77.8205905273184
UPBD,UPBOUND GROUP INC,Industrials,87.2,1.116552458912,40.0843468026677
CMCSA,COMCAST CORP,Communication Svcs,87.2,71.322502248931,16.453096525990006
LGND,LIGAND PHARMACEUTICALS INC,Healthcare,87.2,1.8316858388100001,-1.5917154089558072
DVA,DAVITA INC,Healthcare,86.9,9.731391,53.93842463014793
TTEK,TETRA TECH INC,Industrials,86.4,0.8992251423869999,35.41552844047835
HA,HAWAIIAN HOLDINGS INC,Industrials,86.3,1.358941193079,-37.56642781225358
ACRE,ARES COMMERCIAL REAL ESTATE CORP,Real Estate,86.3,0.19888405289999997,-14.615384615384608
HPQ,HP INC,Technology,86.1,23.612843427515998,22.70293556526555
BKE,BUCKLE INC,Consumer Disc,85.8,0.671275338357,24.367529515289288
FL,FOOT LOCKER INC,Consumer Disc,85.6,3.5031477861660005,7.169721210673985
BSTC,BIOSPECIFICS TECHNOLOGIES CORP,Healthcare,85.5,0.4179037278,
RMNI,RIMINI STREET INC,Technology,85.5,0.26101148,14.175257731958757
RSG,REPUBLIC SERVICES INC,Utilities,85.1,26.132208126804002,8.380352214161846
AMP,AMERIPRISE FINANCIAL INC,Financials,85.0,18.858510982815996,17.954437046940196
LUV,SOUTHWEST AIRLINES CO,Industrials,85.0,25.978042131612,-13.682589846440596
RTX,RTX CORP,Industrials,84.9,64.98602253425999,-16.414936436456383
ETRN,EQUITRANS MIDSTREAM CORP,Energy,84.9,2.378799472,-35.42514457057185
BKNG,BOOKING HOLDINGS INC,Industrials,84.6,3.3670399308000003,7.377803192282828
WLKP,WESTLAKE CHEMICAL PARTNERS LP,Materials,84.4,0.531799100357,-3.2885595182955085
V,VISA INC,Financials,84.0,84.004555683894,16.932298736920902
ORCL,ORACLE CORP,Technology,84.0,154.300747496,23.65915516381174
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,Real Estate,83.7,0.9423029250389999,-13.662257410447031
ELME,ELME COMMUNITIES,Real Estate,83.7,0.28973810468,-22.03059805285119
ORA,ORMAT TECHNOLOGIES INC,Utilities,83.6,3.649987588797,20.450703438255324
RDN,RADIAN GROUP INC,Financials,83.3,4.105660158468001,-18.656606731664294
TROX,TRONOX HOLDINGS PLC,Materials,82.9,1.264371676015,33.363258893502426
JCAP1,JERNIGAN CAPITAL INC,Real Estate,82.8,0.40998119062700006,
USNA,USANA HEALTH SCIENCES INC,Healthcare,82.7,1.70006197025,-1.9478039465308683
ETFC,E TRADE FINANCIAL CORP,Financials,81.9,10.15830709455,
RILY,BRC GROUP HOLDINGS INC,Financials,81.9,0.42169165002,87.47765006385697
CRTO,CRITEO SA,Communication Svcs,81.9,1.1104675634699999,19.56145412579342
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Disc,81.7,2.07076573177,39.101685347955815
STWD,STARWOOD PROPERTY TRUST INC,Real Estate,81.7,3.658879078344,-11.727538912004931
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Real Estate,81.4,0.3875468376580001,-31.271609681137157
NAVI,NAVIENT CORP,Financials,81.3,2.21832467246,-23.355918692706258
CETV,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD,Communication Svcs,80.7,1.14883982778,
CXW,CORECIVIC INC,Real Estate,80.3,1.93851826735,-58.346132579713704
TCO,TAUBMAN CENTERS INC,Real Estate,80.3,1.8770176173,
GM,GENERAL MOTORS CO,Consumer Disc,80.2,49.60738242432,15.76036866359447
MED,MEDIFAST INC,Consumer Staples,80.2,1.079671965192,82.88686633961618
MR,MONTAGE RESOURCES CORP,Energy,80.0,0.28433027252000004,
SHOE,SHOE STATION GROUP INC,Consumer Disc,79.6,0.233706103898,5.484027693428883
CPS,COOPER-STANDARD HOLDINGS INC,Consumer Disc,79.4,0.5583720878399999,3.468033775633317
EBF,ENNIS INC,Communication Svcs,79.2,0.361348840166,-15.054540200823519
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,79.1,0.697441101,-44.42857142857143
RM,REGIONAL MANAGEMENT CORP,Financials,78.5,0.26886277658200003,-3.293413173652693
RHP,RYMAN HOSPITALITY PROPERTIES INC,Real Estate,78.2,3.706016210064,-20.319007163085125
NXRT,NEXPOINT RESIDENTIAL TRUST INC,Real Estate,78.0,0.8543209846600001,-6.563717877340524
OMC,OMNICOM GROUP INC,Communication Svcs,78.0,13.851023406525,-20.047158688988443
JBSS,SANFILIPPO JOHN B & SON INC,Consumer Staples,78.0,0.55583792274,-10.044854842715834
CTRA,COTERRA ENERGY INC,Energy,77.9,5.321377359285,-3.2272901494825534
WKC,WORLD KINECT CORP,Energy,77.4,2.457703789776,-26.447424435930188
RFP,RESOLUTE FOREST PRODUCTS INC,Materials,77.4,0.346816932768,56.41091658084449
RRD,RR DONNELLEY & SONS CO,Communication Svcs,76.8,0.2772899,-43.74840194323703
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,76.8,2.2859871345,3.9793281653746737
ATI,ATI INC,Materials,76.7,2.60492328968,-18.538238141335928
NGVT,INGEVITY CORP,Materials,76.6,3.65460794566,-13.515678644998863
MUR,MURPHY OIL CORP,Energy,76.4,3.343968363112,-51.97009591875118
T,AT&T INC,Communication Svcs,76.1,145.946595,-22.1232293908604
SM,SM ENERGY CO,Energy,76.1,1.138841631833,-44.91130710534139
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,75.5,20.481093507496002,1.9111494570968057
AMWD,AMERICAN WOODMARK CORP,Materials,75.1,1.76847087697,-9.970337766720894
TDS,TELEPHONE & DATA SYSTEMS INC,Communication Svcs,75.1,1.032984074304,-26.179905414535277
VVV,VALVOLINE INC,Unclassified,74.3,3.8191570222399998,11.607142857142861
STLD,STEEL DYNAMICS INC,Materials,74.3,6.496744704026,11.49432911056576
FE,FIRSTENERGY CORP,Utilities,73.8,19.851592426887002,-35.276666394491166
AD,ARRAY DIGITAL INFRASTRUCTURE INC,Communication Svcs,73.4,0.87148616037,-17.389448002439767
NRG,NRG ENERGY INC,Utilities,73.0,8.263866049339999,-5.242647506545694
AWK,AMERICAN WATER WORKS COMPANY INC,Utilities,72.7,19.423676254374,24.531392513448623
SO,SOUTHERN CO,Utilities,71.9,51.746632485237996,-0.6809614527177654
CRAI,CRA INTERNATIONAL INC,Unclassified,71.9,0.383510934177,-5.051157346679314
VGR,VECTOR GROUP LTD,Consumer Staples,71.7,0.994035950286,-6.467439785905437
WBD,WARNER BROS DISCOVERY INC,Communication Svcs,70.5,4.427311582980001,-8.949297495418463
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,70.0,4.397151929964,-22.94614755520309
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,69.6,95.574266218788,2.2204857719606785
CWCO,CONSOLIDATED WATER CO LTD,Utilities,69.3,0.213752212576,-23.080708661417315
ALCO,ALICO INC,Consumer Staples,65.8,0.23426529279999997,-12.202048565684919
MHK,MOHAWK INDUSTRIES INC,Unclassified,65.7,9.7678404093,4.494793958058363
NUS,NU SKIN ENTERPRISES INC,Consumer Staples,65.4,1.7826767389020002,37.94908547035176
PPC,PILGRIMS PRIDE CORP,Consumer Staples,65.1,6.958272907901,-40.85219324988344
MGPI,MGP INGREDIENTS INC,Unclassified,63.7,0.765604860732,0.2668801708033186
ALLE,ALLEGION PLC,Unclassified,62.7,10.557086062545,-6.556121775407275
TILE,INTERFACE INC,Unclassified,62.3,0.940309713024,-37.41923459244533
NPO,ENPRO INC,Unclassified,58.2,1.2979599881500001,14.662930344275416
UEIC,UNIVERSAL ELECTRONICS INC,Unclassified,55.0,0.6903226331550001,-0.49835562819038337
KN,KNOWLES CORP,Unclassified,51.4,1.93618375065,-13.522458628841605
UFI,UNIFI INC,Unclassified,48.0,0.46720661082000003,-29.176563737133808
