cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
1098009,AAGH,OTC,America Great Health,delisted_or_shrunk,19,2018-02-20,2022-10-31,2018-02-20,2023-05-19
8177,AAME,Nasdaq,ATLANTIC AMERICAN CORP,delisted_or_shrunk,20,2018-03-26,2022-11-08,2018-03-26,2023-05-27
1158449,AAP,NYSE,ADVANCE AUTO PARTS INC,delisted_or_shrunk,20,2018-02-21,2022-11-16,2018-02-21,2023-06-04
1672571,AAQL,OTC,Antiaging Quantum Living Inc.,delisted_or_shrunk,10,2020-08-04,2022-11-14,2020-08-04,2023-06-02
930245,AASP,OTC,Agassi Sports Entertainment Corp.,delisted_or_shrunk,9,2018-04-02,2022-03-08,2018-04-02,2022-09-24
943034,AATC,OTC,AUTOSCOPE TECHNOLOGIES CORP,delisted_or_shrunk,20,2018-03-14,2022-11-16,2018-03-14,2023-06-04
1756390,AAWH,OTC,"Ascend Wellness Holdings, Inc.",delisted_or_shrunk,7,2021-05-26,2022-11-14,2021-05-26,2023-06-02
825313,AB,NYSE,ALLIANCEBERNSTEIN HOLDING L.P.,delisted_or_shrunk,20,2018-02-13,2022-10-28,2018-02-13,2023-05-16
1703057,ABCL,Nasdaq,AbCellera Biologics Inc.,delisted_or_shrunk,8,2021-03-30,2022-11-08,2021-03-30,2023-05-27
20639,ABCP,OTC,AmBase Corp,delisted_or_shrunk,10,2018-03-30,2022-05-05,2018-03-30,2022-11-21
318306,ABEO,Nasdaq,ABEONA THERAPEUTICS INC.,delisted_or_shrunk,16,2018-03-16,2022-11-14,2018-03-16,2023-06-02
1173313,ABVC,Nasdaq,"ABVC BIOPHARMA, INC.",delisted_or_shrunk,19,2018-01-16,2022-11-14,2018-01-16,2023-06-02
1622996,ACBM,OTC,"ACRO BIOMEDICAL CO., LTD.",delisted_or_shrunk,11,2018-02-14,2021-11-22,2018-02-14,2022-06-10
843006,ACCS,NYSE,ACCESS Newswire Inc.,delisted_or_shrunk,20,2018-03-01,2022-11-03,2018-03-01,2023-05-22
1720580,ACET,Nasdaq,"Adicet Bio, Inc.",delisted_or_shrunk,12,2018-03-29,2022-11-08,2018-03-29,2023-05-27
880984,ACFN,Nasdaq,"ACORN ENERGY, INC.",delisted_or_shrunk,20,2018-03-26,2022-11-10,2018-03-26,2023-05-29
75252,ACH,NYSE,ACCENDRA HEALTH INC/VA/,delisted_or_shrunk,20,2018-02-23,2022-11-02,2018-02-23,2023-05-21
949858,ACHV,Nasdaq,"ACHIEVE LIFE SCIENCES, INC.",delisted_or_shrunk,20,2018-03-01,2022-11-14,2018-03-01,2023-06-02
1646972,ACI,NYSE,"Albertsons Companies, Inc.",delisted_or_shrunk,19,2018-05-11,2022-10-19,2018-05-11,2023-05-07
1467373,ACN,NYSE,Accenture plc,delisted_or_shrunk,20,2018-03-22,2022-12-16,2018-03-22,2023-07-04
1332551,ACR,NYSE,ACRES Commercial Realty Corp.,delisted_or_shrunk,20,2018-03-16,2022-11-07,2018-03-16,2023-05-26
1736243,ACXP,Nasdaq,"Acurx Pharmaceuticals, Inc.",delisted_or_shrunk,6,2021-08-13,2022-11-10,2021-08-13,2023-05-29
821130,AD,NYSE,"ARRAY DIGITAL INFRASTRUCTURE, INC.",delisted_or_shrunk,20,2018-02-26,2022-11-03,2018-02-26,2023-05-22
1273685,ADAM,Nasdaq,"ADAMAS TRUST, INC.",delisted_or_shrunk,20,2018-02-27,2022-11-04,2018-02-27,2023-05-23
1513525,ADIL,Nasdaq,"ADIAL PHARMACEUTICALS, INC.",delisted_or_shrunk,9,2018-09-10,2022-03-28,2018-09-10,2022-10-14
849401,ADMT,OTC,"ADM TRONICS UNLIMITED, INC.",delisted_or_shrunk,20,2018-02-14,2022-11-21,2018-02-14,2023-06-09
1744494,ADNH,,"ADVENT TECHNOLOGIES HOLDINGS, INC.",delisted_or_shrunk,9,2019-04-01,2022-11-14,2019-04-01,2023-06-02
1670541,ADNT,NYSE,Adient plc,delisted_or_shrunk,20,2018-01-30,2022-11-22,2018-01-30,2023-06-10
1750106,AEI,Nasdaq,Alset Inc.,delisted_or_shrunk,9,2020-12-29,2022-11-14,2020-12-29,2023-06-02
882291,AEMD,Nasdaq,AETHLON MEDICAL INC,delisted_or_shrunk,20,2018-02-01,2022-11-14,2018-02-01,2023-06-02
1837607,AEON,NYSE,"AEON Biopharma, Inc.",delisted_or_shrunk,5,2021-08-16,2022-11-14,2021-08-16,2023-06-02
1605331,AERA,OTC,AI Era Corp.,delisted_or_shrunk,17,2018-12-10,2022-12-08,2018-12-10,2023-06-26
879911,AERG,OTC,"APPLIED ENERGETICS, INC.",delisted_or_shrunk,10,2020-05-15,2022-11-14,2020-05-15,2023-06-02
